"youtube_id","published_at","updated_at","view_count","like_count","dislike_count","favourite_count","comment_count","duration","transcript","annotation"
"_53cGxAUuDk","","","","","","","","","","promoting"
"jt7-rZ0TQvs","","","","","","","","","","debunking"
"nfdCnPZGwt0","","","","","","","","","","debunking"
"5bpQ9-IQffw","","","","","","","","","","debunking"
"jdVso9FSkmE","","","","","","","","","","promoting"
"gBdIgWPqSxM","","","","","","","","","","debunking"
"JDy95_eNPzM","","","","","","","","","","debunking"
"tqqiZdqBNI0","","","","","","","","","","promoting"
"U0CcyqKlkHs","","","","","","","","","","debunking"
"7mmlmxamw_k","","","","","","","","","","debunking"
"P4l9Y5OHqpk","","","","","","","","","","debunking"
"Hc6pbG4wICA","","","","","","","","","","promoting"
"sSk1T_UuRQA","","","","","","","","","","promoting"
"nhK2_xe1z_8","","","","","","","","","","promoting"
"U2TrLXEPq1w","","","","","","","","","","debunking"
"wJBBlntDtEU","","","","","","","","","","promoting"
"ALTvVvuOvT0","","","","","","","","","","debunking"
"m4kM5zwxThE","","","","","","","","","","promoting"
"knWCsonQVG4","","","","","","","","","","debunking"
"KC8qr-U9ehU","","","","","","","","","","promoting"
"nsYZyeFhybA","","","","","","","","","","debunking"
"LT_B654QafQ","","","","","","","","","","promoting"
"ck0sF5wnH4Q","","","","","","","","","","promoting"
"89RvUQjjTFE","","","","","","","","","","debunking"
"N17y8WjY0Ow","","","","","","","","","","promoting"
"8FQnG5pK4nw","","","","","","","","","","promoting"
"b3AIYWROQkE","","","","","","","","","","promoting"
"IBeMjyo2Wwk","","","","","","","","","","promoting"
"pF1JLz2rWRc","","","","","","","","","","promoting"
"kRk2mdsXhuw","","","","","","","","","","promoting"
"fOOBUixiiac","","","","","","","","","","debunking"
"qmRXu5FSHzQ","","","","","","","","","","promoting"
"LciefYaAZmc","","","","","","","","","","debunking"
"JTfhYyTuT44","","","","","","","","","","debunking"
"qgT6xYJ4JTI","","","","","","","","","","debunking"
"W08Z3Lhq4Ps","","","","","","","","","","promoting"
"dpthnzDBtfM","","","","","","","","","","debunking"
"BtFha0mq_Gs","","","","","","","","","","promoting"
"7-4LtJKRq0U","","","","","","","","","","promoting"
"56OhXUuY2RE","","","","","","","","","","promoting"
"n3FRsk_8gy8","","","","","","","","","","promoting"
"NcAO4-o_4Ug","","","","","","","","","","promoting"
"iyW_-tHf0Qw","","","","","","","","","","debunking"
"d9e4mQ3xots","","","","","","","","","","promoting"
"zX4DeCV31YY","","","","","","","","","","promoting"
"1YCtiaEen44","","","","","","","","","","debunking"
"OwF26HOmw-A","","","","","","","","","","debunking"
"IuVo4fnpLC8","","","","","","","","","","debunking"
"f9-KDYL0olQ","","","","","","","","","","promoting"
"fBIZcnmuolI","","","","","","","","","","promoting"
"8pS1edpeGqI","","","","","","","","","","promoting"
"9-PQXN3n-xs","","","","","","","","","","promoting"
"URQF9KkbU7s","","","","","","","","","","promoting"
"gBc9rLKA5Sg","","","","","","","","","","debunking"
"orji_VIQCek","","","","","","","","","","debunking"
"iOceOnghdjg","","","","","","","","","","promoting"
"XRKawaGWlDw","","","","","","","","","","promoting"
"PMEYotTJmuE","","","","","","","","","","debunking"
"liWFkF6v6_U","","","","","","","","","","promoting"
"MATBu1cLDWc","","","","","","","","","","promoting"
"O2jJ3wjEyZk","","","","","","","","","","debunking"
"lprTnk1IpdA","","","","","","","","","","promoting"
"lWDf1lgpyjM","","","","","","","","","","debunking"
"1rJZTo0lvNg","","","","","","","","","","debunking"
"heazhd2i5Io","","","","","","","","","","promoting"
"1eZGeZsoqeg","","","","","","","","","","promoting"
"0Y_jEBzeLJM","","","","","","","","","","debunking"
"O302ctDEw04","","","","","","","","","","promoting"
"wMyxUe-wYkI","","","","","","","","","","debunking"
"MHAtdhFcrrU","","","","","","","","","","promoting"
"y5b8vdoSKvg","","","","","","","","","","debunking"
"1g_iV57bd1Q","","","","","","","","","","debunking"
"uTChrirK-hw","","","","","","","","","","debunking"
"jdA6p8YHbP8","","","","","","","","","","promoting"
"cDZweMXXY6Y","","","","","","","","","","promoting"
"QCaYKBN2Kls","","","","","","","","","","promoting"
"Lrfr06Sj3vQ","","","","","","","","","","promoting"
"9zU8fE4O4QU","","","","","","","","","","promoting"
"nrRiCZKHfZA","","","","","","","","","","promoting"
"ZHIn2GvUIcI","","","","","","","","","","promoting"
"0aJlWeTTOaY","","","","","","","","","","promoting"
"mB3gwgBVUyw","","","","","","","","","","promoting"
"lbB7AhwaZy8","","","","","","","","","","debunking"
"TjYQP0ly-lw","","","","","","","","","","promoting"
"NHWRj0B9wx8","","","","","","","","","","promoting"
"eCbCqHFNxic","","","","","","","","","","promoting"
"3LgA15yOngU","","","","","","","","","","promoting"
"S67rAhfl1no","","","","","","","","","","promoting"
"R4xjiDlhUO8","","","","","","","","","","promoting"
"X3ziP9JrlQk","","","","","","","","","","promoting"
"JXRy94GlfsY","","","","","","","","","","promoting"
"CsWa3XkXTqY","","","","","","","","","","debunking"
"hR_QFOlccv4","","","","","","","","","","debunking"
"BM7Sajyy9cE","","","","","","","","","","debunking"
"jiej9QV3bzw","","","","","","","","","","promoting"
"4ORMuta4JCE","","","","","","","","","","promoting"
"9Bopcme_Sz8","","","","","","","","","","debunking"
"ZWND2drCupY","","","","","","","","","","promoting"
"alqp2wHY_10","","","","","","","","","","debunking"
"asPvl0WaK3I","","","","","","","","","","promoting"
"xR8m6xUqjec","","","","","","","","","","promoting"
"0dw6J62pOwA","","","","","","","","","","promoting"
"H4krWWfVw-4","","","","","","","","","","debunking"
"vURFZW2uQC0","","","","","","","","","","debunking"
"VqXFFjn-lR8","","","","","","","","","","debunking"
"YjWn23pEl3k","","","","","","","","","","debunking"
"rwDSa4ZgKmo","","","","","","","","","","neutral"
"YCAI1x9PMoI","","","","","","","","","","debunking"
"Cxqx5DBPvaI","","","","","","","","","","debunking"
"__LxwaAEaL8","","","","","","","","","","promoting"
"zYUj6ZW94C0","","","","","","","","","","promoting"
"HGJPQtb8jjY","","","","","","","","","","debunking"
"zH3NIWEKr2Q","","","","","","","","","","promoting"
"HIOIjHzIHzc","","","","","","","","","","promoting"
"6GPo8Ir0yn4","","","","","","","","","","promoting"
"F75fTUCLxso","","","","","","","","","","debunking"
"ljtn9mHQW14","","","","","","","","","","debunking"
"Tb2WRfY3g8Y","","","","","","","","","","promoting"
"RTybvkaPne8","","","","","","","","","","promoting"
"-2282NrXjq4","","","","","","","","","","debunking"
"4ml6r7cuKe8","","","","","","","","","","debunking"
"RXkfs8KjRSc","","","","","","","","","","debunking"
"yanOTNCmv24","","","","","","","","","","promoting"
"29SnpXVIlOM","","","","","","","","","","debunking"
"0NnEijB1MHc","","","","","","","","","","debunking"
"pn-Kxynk5cU","","","","","","","","","","promoting"
"IvtTYMn6IcM","","","","","","","","","","debunking"
"A0CVSp1x1q8","","","","","","","","","","debunking"
"I4V8dLm4hEc","","","","","","","","","","promoting"
"WyHoaThrxSs","","","","","","","","","","debunking"
"hFYAUOtblJw","","","","","","","","","","debunking"
"oaAfOd3fEJo","","","","","","","","","","promoting"
"2hmDrJQA6Ik","","","","","","","","","","debunking"
"kazYXW5x4CY","","","","","","","","","","promoting"
"PPmcvCz6sPk","","","","","","","","","","debunking"
"9-9ub-we3pg","","","","","","","","","","debunking"
"sNuKpwX6Tz4","","","","","","","","","","promoting"
"34oI0yd5YUc","","","","","","","","","","debunking"
"OsFEV35tWsg","","","","","","","","","","promoting"
"f8DQSM-b2cc","","","","","","","","","","debunking"
"Df-o5TKv0C0","","","","","","","","","","promoting"
"6VcDReDPQZc","","","","","","","","","","debunking"
"kHg0swxrlS4","","","","","","","","","","debunking"
"pb0OMZncpfI","","","","","","","","","","promoting"
"qI5o1yVVHXY","","","","","","","","","","promoting"
"QxZ_iPldGtI","","","","","","","","","","debunking"
"hw-pTll1M_I","","","","","","","","","","promoting"
"DYrA6xbPjkg","","","","","","","","","","debunking"
"Ef5Wy1tL_R4","","","","","","","","","","promoting"
"D2NqG9JW1n4","","","","","","","","","","debunking"
"SpeSpA3e56A","","","","","","","","","","promoting"
"7ae_XdFEQDw","","","","","","","","","","debunking"
"bhgm8ezFqpg","","","","","","","","","","promoting"
"DrfF5EcXYtA","","","","","","","","","","promoting"
"6ugOaDZxfhI","","","","","","","","","","debunking"
"qOO04RwLa9M","","","","","","","","","","promoting"
"CoT10nxZrVo","","","","","","","","","","promoting"
"0yE-AU8kNv4","","","","","","","","","","debunking"
"Mjk7ySgEPCA","","","","","","","","","","promoting"
"Jixr5W-M3nY","","","","","","","","","","debunking"
"mqr8cfATwyo","","","","","","","","","","promoting"
"sLjVsvznvR8","","","","","","","","","","promoting"
"HLQ0SFQS0Uo","","","","","","","","","","debunking"
"grceJbuPUXI","","","","","","","","","","promoting"
"NtzNbFV4IqM","","","","","","","","","","promoting"
"87X1Hg9mlII","","","","","","","","","","promoting"
"1_AQYE8nfzI","","","","","","","","","","debunking"
"CuG6nJqh1Cg","","","","","","","","","","promoting"
"0e96NN_CJ9g","","","","","","","","","","debunking"
"5A7NxmeIg7Y","","","","","","","","","","debunking"
"zyxEo2kqo08","","","","","","","","","","promoting"
"FTTeqLhwmKs","","","","","","","","","","promoting"
"mDXw0EcyQeY","","","","","","","","","","debunking"
"gSKY4Oz9IXQ","","","","","","","","","","debunking"
"FJ7iPn39i08","","","","","","","","","","promoting"
"Q7jtkB5QhBU","","","","","","","","","","promoting"
"y750zcVhOq4","","","","","","","","","","promoting"
"MMIW4mS5QpI","","","","","","","","","","debunking"
"IW9j-_1haGk","","","","","","","","","","debunking"
"R7oyZGW99os","","","","","","","","","","promoting"
"OVCgrp2Y5Kc","","","","","","","","","","promoting"
"yaWVflQolmM","","","","","","","","","","promoting"
"c07MnRmJPcI","","","","","","","","","","debunking"
"eeYoXGoh96w","","","","","","","","","","promoting"
"0I4cdJesgVg","","","","","","","","","","promoting"
"tWG15lJd480","","","","","","","","","","promoting"
"r2zlL-8CCYM","","","","","","","","","","promoting"
"wtEN35HAkeo","","","","","","","","","","promoting"
"ha0-aJVMuYk","","","","","","","","","","promoting"
"RGoLuHOVMqQ","","","","","","","","","","debunking"
"ov_Jw02uHGY","","","","","","","","","","promoting"
"seJSm-vD9OA","","","","","","","","","","promoting"
"OxVXHuSkJKc","","","","","","","","","","promoting"
"ICj41bK3-7Q","","","","","","","","","","promoting"
"Yi7DD6NCGrI","","","","","","","","","","promoting"
"JLKIUnApa5o","","","","","","","","","","promoting"
"igoizIP7f-g","","","","","","","","","","promoting"
"jo-v9Nge6Zw","","","","","","","","","","debunking"
"jT9OcNYhWTc","","","","","","","","","","promoting"
"753in88nz2w","","","","","","","","","","promoting"
"3RkhZgRNC1k","","","","","","","","","","debunking"
"C4T6KTzL7ww","","","","","","","","","","promoting"
"gH0Wy6mbwv0","","","","","","","","","","debunking"
"nlPpV5h2LhI","","","","","","","","","","debunking"
"lgXqRSyyHOU","","","","","","","","","","debunking"
"-5yh2HcIlkU","","","","","","","","","","promoting"
"4UjqFaQq_7I","","","","","","","","","","promoting"
"AGieMmIJAvM","","","","","","","","","","promoting"
"szxheS6MmFE","","","","","","","","","","promoting"
"I0gI24pufUA","","","","","","","","","","promoting"
"dn7nksxsYUA","","","","","","","","","","promoting"
"6l5NjCJvbGA","","","","","","","","","","promoting"
"wBUSWn0H-FI","","","","","","","","","","debunking"
"WyGq6cjcc3Q","","","","","","","","","","debunking"
"KdvWr8iaQ7U","","","","","","","","","","promoting"
"zqwftUv4shk","","","","","","","","","","promoting"
"-FuJ5mOV6Vg","","","","","","","","","","promoting"
"NsmH0PkNS8w","","","","","","","","","","promoting"
"abeYukTNmj0","","","","","","","","","","debunking"
"Y9ebAMzt-oA","","","","","","","","","","debunking"
"_FVAzn1Yuz8","","","","","","","","","","debunking"
"0_hFabF1Fjw","","","","","","","","","","promoting"
"lGwJhoZsAV8","","","","","","","","","","promoting"
"RG_SiZ8m0CM","","","","","","","","","","promoting"
"aVScQKqkN1E","","","","","","","","","","promoting"
"B0EPC1vra8Q","","","","","","","","","","debunking"
"FMbcvJkQiCA","","","","","","","","","","promoting"
"pXhs1WBY1WQ","","","","","","","","","","promoting"
"o3ZseQrmzXI","","","","","","","","","","debunking"
"XdxxdpIMaOo","","","","","","","","","","promoting"
"FACK2knC08E","","","","","","","","","","debunking"
"El6ozACSiDY","","","","","","","","","","promoting"
"8T_jwq9ph8k","","","","","","","","","","debunking"
"3lBpuBqxDVA","","","","","","","","","","promoting"
"Ztn3CsY7bBY","","","","","","","","","","promoting"
"q12y54h_M1Y","","","","","","","","","","promoting"
"BI1QfzRwQCk","","","","","","","","","","promoting"
"MrtzJkcMWo8","","","","","","","","","","promoting"
"SStEkSQxeco","","","","","","","","","","promoting"
"zi9caZfVPho","","","","","","","","","","promoting"
"cldP7TH_wWs","","","","","","","","","","promoting"
"Q6sOArq2Vxo","","","","","","","","","","promoting"
"bm90wY-LWXg","","","","","","","","","","debunking"
"NOKJ4ZXgK4Q","","","","","","","","","","debunking"
"mwr0UwcNAwo","","","","","","","","","","promoting"
"aOZ_02nozaA","","","","","","","","","","promoting"
"D1IXQOQmb8I","","","","","","","","","","promoting"
"dbbWrsifMQM","","","","","","","","","","promoting"
"OPL6fsG8XOg","","","","","","","","","","promoting"
"rn2JnBALBn8","","","","","","","","","","promoting"
"Xqbq96bD1g0","","","","","","","","","","promoting"
"SIVM_vEoFXc","","","","","","","","","","debunking"
"LQucESRF3Sg","","","","","","","","","","promoting"
"48IYloUcCIc","","","","","","","","","","promoting"
"eVTk-PZrX8M","","","","","","","","","","promoting"
"T6kCWINQLxk","","","","","","","","","","promoting"
"xSlYVGNQiFs","","","","","","","","","","debunking"
"tmHcuHPZU1A","","","","","","","","","","promoting"
"bPOKFVvy7fI","","","","","","","","","","promoting"
"L2cMZK8SgBs","","","","","","","","","","debunking"
"oORCGs1RFqM","","","","","","","","","","promoting"
"UPHmTYKwil0","","","","","","","","","","debunking"
"aotlEpmAFVQ","","","","","","","","","","debunking"
"Ft1waA3p2_w","","","","","","","","","","promoting"
"iekIMxKtktA","","","","","","","","","","promoting"
"FeasKVBFySw","","","","","","","","","","debunking"
"DVq7gBH70WE","","","","","","","","","","promoting"
"ItoGVLj8ZfE","","","","","","","","","","debunking"
"7VG_s2PCH_c","","","","","","","","","","debunking"
"RTp6Nz2sm6Y","","","","","","","","","","promoting"
"B6MLwtkv3eY","","","","","","","","","","promoting"
"AJIJAFvvQwQ","","","","","","","","","","promoting"
"ElDktRko1Qo","","","","","","","","","","promoting"
"NLmXHhv6O9w","","","","","","","","","","promoting"
"s1FoAglwPqE","","","","","","","","","","promoting"
"uv6rPMsTVqM","","","","","","","","","","promoting"
"rI2OGALLTT0","","","","","","","","","","promoting"
"_v-U3K1sw9U","","","","","","","","","","debunking"
"lXsoBceK1lI","","","","","","","","","","promoting"
"j2-6ihbW7HU","","","","","","","","","","promoting"
"uOHG0u-WKXM","","","","","","","","","","debunking"
"CmXgau7WFmo","","","","","","","","","","debunking"
"VPOrnU3ImxI","","","","","","","","","","debunking"
"VVHezI4QW-s","","","","","","","","","","promoting"
"T75encTRm1c","","","","","","","","","","promoting"
"ZL5C_Xt3hzM","","","","","","","","","","promoting"
"WbQysbDgiZ4","","","","","","","","","","promoting"
"e8zc5RGyXx0","","","","","","","","","","promoting"
"r4OkM6fJbeg","","","","","","","","","","debunking"
"goOLDkiQ9XU","","","","","","","","","","debunking"
"w3dn-LY3ZtE","","","","","","","","","","promoting"
"dwgdWAbnKc0","","","","","","","","","","promoting"
"rW73GgST_as","","","","","","","","","","promoting"
"YqJ7KoygkC4","","","","","","","","","","debunking"
"QVTJwB0LqpM","","","","","","","","","","promoting"
"fsZKLXKDC_0","","","","","","","","","","promoting"
"qzl-DrhTR2I","","","","","","","","","","promoting"
"4Ny842FitF8","","","","","","","","","","promoting"
"SypsmuVidXk","","","","","","","","","","promoting"
"jSzTxT3UEww","","","","","","","","","","promoting"
"O5N_FRbmcHM","","","","","","","","","","promoting"
"84qy30bxBYA","","","","","","","","","","promoting"
"ha2mLz-Xdpg","","","","","","","","","","debunking"
"VeDHHt26ibQ","","","","","","","","","","debunking"
"cLR3TQiZXKw","","","","","","","","","","debunking"
"igFH0pAlcGY","","","","","","","","","","promoting"
"1tYrIxp6scw","","","","","","","","","","promoting"
"1jghXKbT1nY","","","","","","","","","","promoting"
"GT3LyWEaMRM","","","","","","","","","","promoting"
"v4ckJnFLYPM","","","","","","","","","","debunking"
"uDh4pUHwLZk","","","","","","","","","","promoting"
"Htn1XqtRlGY","","","","","","","","","","promoting"
"GraFDLVYsBQ","","","","","","","","","","debunking"
"hLgMWTwYti0","","","","","","","","","","promoting"
"_d8PNlXHJ48","","","","","","","","","","debunking"
"GGu5Y927tNE","","","","","","","","","","debunking"
"xMu9T8T20xg","","","","","","","","","","promoting"
"jfcXcsbPais","","","","","","","","","","promoting"
"XDThfcXcFAI","","","","","","","","","","promoting"
"9R897t8GSYQ","","","","","","","","","","promoting"
"issAPxADKW8","","","","","","","","","","promoting"
"N6V67685n6M","","","","","","","","","","promoting"
"NkwGb_NCeQ0","","","","","","","","","","promoting"
"j7xsOsrDmPQ","","","","","","","","","","debunking"
"zpbvhdqjL_s","","","","","","","","","","promoting"
"-fyorVkgGc0","","","","","","","","","","promoting"
"-bDgYM5KK2Y","","","","","","","","","","promoting"
"eH-dDM_2N-I","","","","","","","","","","debunking"
"3owk7vEEOvs","","","","","","","","","","neutral"
"odbQgx6s6eI","","","","","","","","","","debunking"
"vN30emwcNS4","","","","","","","","","","debunking"
"DPRJzNc876A","","","","","","","","","","promoting"
"HgB2Z6wtxOQ","","","","","","","","","","debunking"
"TfSJFPu50_A","","","","","","","","","","debunking"
"40YIIaF1qiw","","","","","","","","","","debunking"
"XoDh53vyfUg","","","","","","","","","","promoting"
"Gg0i-4m2L0g","","","","","","","","","","promoting"
"1cjxqwmAJHQ","","","","","","","","","","promoting"
"g0yQNWtmNg8","","","","","","","","","","promoting"
"NaGndICPT8I","","","","","","","","","","debunking"
"LVBc7-Te_yA","","","","","","","","","","debunking"
"fDBRhxryfZM","","","","","","","","","","promoting"
"Z-dMysImr6g","","","","","","","","","","promoting"
"KS3blm2kjuo","","","","","","","","","","promoting"
"A1AUdaH-EPM","","","","","","","","","","debunking"
"b03U6BYF9L0","","","","","","","","","","debunking"
"CTj_xoCuhPU","","","","","","","","","","debunking"
"y2WtUMvNjzQ","","","","","","","","","","debunking"
"8FD0VxhhbuA","","","","","","","","","","debunking"
"FPEHm2x8bdE","","","","","","","","","","debunking"
"Rzxr9FeZf1g","","","","","","","","","","debunking"
"VSQnOS7t4Gg","","","","","","","","","","debunking"
"XPeeCyJReZw","","","","","","","","","","debunking"
"tDjQ8ivwbCU","","","","","","","","","","debunking"
"bNKdlnoAqIs","","","","","","","","","","debunking"
"tncjsUkqNyY","","","","","","","","","","debunking"
"V522Hs8E6NU","","","","","","","","","","debunking"
"eMrFV2rnHlo","","","","","","","","","","debunking"
"U71MN8RSePA","","","","","","","","","","debunking"
"NaYfoGwH33I","","","","","","","","","","debunking"
"SHH1vWD19Fw","","","","","","","","","","debunking"
"TKjn9FWbN4g","","","","","","","","","","debunking"
"Fcvgp6gNh6o","","","","","","","","","","debunking"
"z71foZ3Xr8A","","","","","","","","","","debunking"
"xXjsn9L-SGI","","","","","","","","","","debunking"
"3EK4VRmG3yM","","","","","","","","","","debunking"
"RyG5uz3LdTw","","","","","","","","","","debunking"
"wKlMcLTqRLs","","","","","","","","","","debunking"
"qPbQTRjwmr4","","","","","","","","","","debunking"
"YFauihFXKHk","","","","","","","","","","debunking"
"fMsa7o48XBE","","","","","","","","","","debunking"
"zzbcG7CRYgQ","","","","","","","","","","debunking"
"ggtkzkoI3eM","","","","","","","","","","debunking"
"the81FQoAUI","","","","","","","","","","debunking"
"QgpfNScEd3M","","","","","","","","","","debunking"
"2h55LrgNVZ4","","","","","","","","","","debunking"
"NcMtPQBrdzA","","","","","","","","","","debunking"
"KR4ifeGxdQw","","","","","","","","","","debunking"
"35Idb_lCU4o","","","","","","","","","","debunking"
"zBkVCpbNnkU","","","","","","","","","","debunking"
"3aNhzLUL2ys","","","","","","","","","","debunking"
"i2mdwmpLYLY","","","","","","","","","","debunking"
"DjqtO-VnVcE","","","","","","","","","","debunking"
"UnSILVWDKL8","","","","","","","","","","debunking"
"-92HQA0GcI8","","","","","","","","","","debunking"
"BtN-goy9VOY","","","","","","","","","","debunking"
"FN1yCWO22H0","","","","","","","","","","debunking"
"2_8nzSB5ZT8","","","","","","","","","","debunking"
"vhcqouX49I0","","","","","","","","","","debunking"
"gWWuL09wxSg","","","","","","","","","","debunking"
"oKvLOe31GZU","","","","","","","","","","debunking"
"EaWkik4jffw","","","","","","","","","","debunking"
"_qvpbzkLn6I","","","","","","","","","","debunking"
"G4rcv3p7AYg","","","","","","","","","","debunking"
"2RiCafMtR9o","","","","","","","","","","debunking"
"gpEXtTzz5Aw","","","","","","","","","","debunking"
"jijuG9tyoR0","","","","","","","","","","debunking"
"tyqySSFDlPA","","","","","","","","","","debunking"
"sMuo_pox7p0","","","","","","","","","","debunking"
"o-nCSXX4H24","","","","","","","","","","debunking"
"GxFAjOC8Kt8","","","","","","","","","","debunking"
"y0opgc1WoS4","","","","","","","","","","debunking"
"yqUFy-t4MlQ","","","","","","","","","","debunking"
"ttSaDl7obwM","","","","","","","","","","debunking"
"GdyjN_zCO_M","","","","","","","","","","debunking"
"Z5MjKrqbLGQ","","","","","","","","","","debunking"
"Qi0edf_nJDo","","","","","","","","","","debunking"
"mvA9gs5gxNY","","","","","","","","","","debunking"
"oBSandHijDc","","","","","","","","","","debunking"
"Ke6tT3_QTuM","","","","","","","","","","debunking"
"8HslUzw35mc","","","","","","","","","","debunking"
"uVUf_pt7Sh0","","","","","","","","","","debunking"
"CcEwlL6PWBs","","","","","","","","","","debunking"
"XbapWiUq94o","","","","","","","","","","debunking"
"k7DGeWlKu0Q","","","","","","","","","","debunking"
"RNubXAfLOGQ","","","","","","","","","","debunking"
"D9tTi-CDjDU","","","","","","","","","","debunking"
"ztkNLWFgYH8","","","","","","","","","","debunking"
"8LdiaLs6OwE","","","","","","","","","","debunking"
"AYkhlXronNk","","","","","","","","","","debunking"
"gZoYxZtjGyg","","","","","","","","","","debunking"
"tngWQSXEVsM","","","","","","","","","","debunking"
"y8PP3Id01WM","","","","","","","","","","debunking"
"wMcTCu-PcsM","","","","","","","","","","debunking"
"K75GdsY9fQM","","","","","","","","","","debunking"
"nucCr7Sywgc","","","","","","","","","","debunking"
"0voOSqFeqCk","","","","","","","","","","debunking"
"juFVCvPOOzQ","","","","","","","","","","debunking"
"zSAJkDEMgkY","","","","","","","","","","debunking"
"RReAsJF5ytw","","","","","","","","","","debunking"
"iHQ2pGqaI3o","","","","","","","","","","debunking"
"Vg4N0wUeUWo","","","","","","","","","","debunking"
"Pu13Mso2VEA","","","","","","","","","","debunking"
"lj3NhPgOoX4","","","","","","","","","","debunking"
"cnWfsRoApoU","","","","","","","","","","debunking"
"fi-nGKEZ8kE","","","","","","","","","","debunking"
"nVAGDYDeADQ","","","","","","","","","","debunking"
"XF_Kr9v6WRs","","","","","","","","","","debunking"
"aiMstewMvSo","","","","","","","","","","debunking"
"M3C6bp9FNGQ","","","","","","","","","","debunking"
"2IFSdn_082o","","","","","","","","","","debunking"
"fg71tqpsVXY","","","","","","","","","","debunking"
"MuJ3wkYvvx8","","","","","","","","","","debunking"
"m5Lwwbe7HiI","","","","","","","","","","debunking"
"7DLFUdS2d6M","","","","","","","","","","debunking"
"2GvHUFRIWwY","","","","","","","","","","debunking"
"4U7-msmV2AU","","","","","","","","","","debunking"
"BlkgcKd78rE","","","","","","","","","","debunking"
"T_ClE_zExnw","","","","","","","","","","debunking"
"j0OyMeeLZMM","","","","","","","","","","debunking"
"ETERgM354wE","","","","","","","","","","debunking"
"4Wrc4fHSCpw","","","","","","","","","","debunking"
"4x2ZrklQQYU","","","","","","","","","","debunking"
"dXOLJOnLKDg","","","","","","","","","","debunking"
"h6BLvTSVdKk","","","","","","","","","","debunking"
"SbL2S3Ri2BM","","","","","","","","","","debunking"
"KVX6mKApnLU","","","","","","","","","","debunking"
"zeQ3HDSoJoI","","","","","","","","","","debunking"
"tvrDH67EyRA","","","","","","","","","","debunking"
"SgC55Nd9foE","","","","","","","","","","debunking"
"DIkqs9_FK28","","","","","","","","","","debunking"
"hLPPE3_DVCw","","","","","","","","","","debunking"
"g25bL6qMTRQ","","","","","","","","","","debunking"
"QaeuPxSqVr4","","","","","","","","","","debunking"
"W94Rth-aIkc","","","","","","","","","","debunking"
"UlHlESetKVk","","","","","","","","","","debunking"
"SUelbSa-OkA","","","","","","","","","","debunking"
"gcNKIGAodj8","","","","","","","","","","debunking"
"IwJzsE8CvzQ","","","","","","","","","","debunking"
"QcUey-DVYjk","","","","","","","","","","debunking"
"YaPa4esJJx4","","","","","","","","","","debunking"
"3JE_KMfuEWk","","","","","","","","","","debunking"
"wqZu7v5KFoU","","","","","","","","","","debunking"
"2ZIYJVhFUQ0","","","","","","","","","","debunking"
"A_wrtnFSQos","","","","","","","","","","debunking"
"N4Nn7x8_sXQ","","","","","","","","","","debunking"
"d9_2qcpe85w","","","","","","","","","","debunking"
